4.0	Using Scripture to Make Requests: Promises and Scripture Prayers (version: CUV)

-------

4.1.{3}	Promises for Help with Prayer
4.2.{3}	Promises to Answer Prayer
4.3.{3}	Promises of God’s Intention to Save Us
4.4.{3}	Promises of God’s Intention to Save the Nations
4.5.{3}	Promises of God’s Love for His People
4.6.{3}	Promises to the Church
4.7.{3}	Promises to Shepherds
4.8.{3}	Promises on the Power of God’s Word
4.9.{3}	Promises to Send Revival
4.10.{3}	Promises of The Holy Spirit’s Powerful Ministry
4.11.{3}	Promises that God Will Make Us His Possession
4.12.{3}.1	The meaning of the promise “God with us”:
4.12.{3}.2	Promises that God Will Be “With Us”
4.13.{3}	Promises that God Will Draw Near
4.14.{3}	Promises that God Will Manifest His Favor
4.15.{3}	Promises to Believers Struggling with Sin
4.16.{3}	Promises to Give His People Strength
4.17.{3}	Promises to Give Light in the Darkness
4.18.{3}	Promises to Those Who are Afflicted
4.19.{3}	Promises to Those Who are Anxious and Afraid
4.20.{3}	Promises Regarding Wisdom
4.21.{3}	Promises to Give Guidance
4.22.{3}	Promises to Give Needed Provision
4.23.{3}	Promises to Give Needed Protection
4.24.{3}	Promises that God is Fighting for His People
4.25.{3}	Promises on the Power of the Cross Over Satan
4.26.{3}	Promises to Save Our Children and Future Generations
4.27.{3}	Promises to Those Who Seek God
4.28.{3}	Promises to Those Who Fear God
4.29.{3}	Promises to the Humble
4.30.{3}	Promises to the Generous
4.31.{3}	Promises to the Obedient
4.32.{3}	Promises to Those Facing Death

-------

4.1.{3}	Promises for Help with Prayer
（番 3:9）	那時，我必使萬民用清潔的言語 好求告〔我〕－耶和華的名， 同心合意地事奉我。
（亞 12:10）	「我必將那施恩叫人懇求的靈，澆灌大衛家和耶路撒冷的居民。他們必仰望我〔註：或譯：他；本節同〕，就是他們所扎的；必為我悲哀，如喪獨生子，又為我愁苦，如喪長子。
（羅 8:26-27）	況且，我們的軟弱有〔聖〕靈幫助；我們本不曉得當怎樣禱告，只是〔聖〕靈親自用說不出來的歎息替我們禱告。鑒察人心的，曉得〔聖〕靈的意思，因為〔聖〕靈照着上帝的〔旨意〕替聖徒祈求。
（加 4:6）	你們既為兒子，上帝就差他兒子的靈進入你們〔註：原文是我們〕的心，呼叫：「阿爸！父！」

4.2.{3}	Promises to Answer Prayer
（代下 7:14）	這稱為我名下的子民，若是自卑、禱告，尋求我的面，轉離他們的惡行，我必從天上垂聽，赦免他們的罪，醫治他們的地。
（代下 34:27）	就是聽見我指着這地和其上居民所說的話，你便心裏敬服，在我面前自卑，撕裂衣服，向我哭泣，因此我應允了你。這是我－耶和華說的。
（伯 33:26）	他禱告上帝， 上帝就喜悅他， 使他歡呼朝見上帝的面； 上帝又看他為義。
（詩 2:8）	你求我，我就將列國賜你為基業， 將地極賜你為田產。
（詩 34:4-5）	我曾尋求耶和華，他就應允我， 救我脫離了一切的恐懼。凡仰望他的，便有光榮； 他們的臉必不蒙羞。
（詩 37:4-5）	又要以耶和華為樂， 他就將你心裏所求的賜給你。當將你的事交託耶和華， 並倚靠他，他就必成全。
